Date,Rank,Weekly ,change,Gross-to-Date,Week
Dec 22?28,24,"1,199,041 ",,"1,199,041 ",1
Dec 29?Jan 4,24,"950,615 ",-20.70%,"2,149,656 ",2
Jan 5?11,16,"2,339,581 ",146%,"4,489,237 ",3
Jan 12?18,2,"28,552,165 ",1120%,"33,041,402 ",4
Jan 19?25,4,"16,644,521 ",-41.70%,"49,685,923 ",5
Jan 26?Feb 1,5,"12,298,587 ",-26.10%,"61,984,510 ",6
Feb 2?8,6,"7,352,010 ",-40.20%,"69,336,520 ",7
Feb 9?15,8,"5,272,852 ",-28.30%,"74,609,372 ",8
Feb 16?22,10,"3,038,629 ",-42.40%,"77,648,001 ",9
Feb 23?Mar 1,13,"1,810,235 ",-40.40%,"79,458,236 ",10
Mar 2?8,14,"1,381,556 ",-23.70%,"80,839,792 ",11
Mar 9?15,17,"462,643 ",-66.50%,"81,302,435 ",12
Mar 16?22,28,"205,231 ",-55.60%,"81,507,666 ",13
Mar 23?29,35,"141,145 ",-31.20%,"81,648,811 ",14
Mar 30?Apr 5,36,"88,201 ",-37.50%,"81,737,012 ",15
Apr 6?12,41,"70,414 ",-20.20%,"81,807,426 ",16
Apr 13?19,47,"41,706 ",-40.80%,"81,849,132 ",17
Apr 20?26,53,"28,292 ",-32.20%,"81,877,424 ",18
Apr 27?May 3,71,"13,341 ",-52.80%,"81,890,765 ",19
May 4?10,77,"9,514 ",-28.70%,"81,900,279 ",20
May 11?17,106,"3,179 ",-66.60%,"81,903,458 ",21
