dates,tweet_count,sentiment,sales,movie
2017-10-08,735,0.16514299319727888,0,ladyb
2017-10-15,1096,0.1483788321167884,0,ladyb
2017-10-22,546,0.18213150183150167,0,ladyb
2017-10-29,97,0.15170515463917528,0,ladyb
2017-11-05,106,0.1477471698113207,532080,ladyb
2017-11-12,80,0.1609,1640395,ladyb
2017-11-19,95,0.2275915789473684,4496063,ladyb
2017-11-26,53,0.17566037735849058,5876913,ladyb
2017-12-03,84,0.07287380952380954,6238218,ladyb
2017-12-10,67,0.10597164179104476,5085720,ladyb
2017-12-17,108,0.10732314814814814,3431429,ladyb
2017-12-24,60,0.11642833333333331,2665194,ladyb
2017-12-31,55,0.05899636363636363,2590079,ladyb
2018-01-07,86,0.20595116279069772,2660118,ladyb
2018-01-14,61,0.1804262295081967,2643026,ladyb
2018-01-21,117,0.1952324786324786,1863857,ladyb
2018-01-28,35,0.19146285714285716,2650245,ladyb
2018-02-04,79,0.16793164556962023,1929519,ladyb
2018-02-11,100,0.11878700000000002,1343310,ladyb
2018-02-18,44,-0.0112,1143293,ladyb
2018-02-25,70,0.13811714285714288,963667,ladyb
2018-03-04,160,0.14657187500000002,774712,ladyb
2018-03-11,142,0.12635563380281686,249427,ladyb
2018-03-18,593,0.20287487352445174,105724,ladyb
2018-03-25,160,0.12684250000000002,47162,ladyb
2018-04-01,1489,0.12306306245802555,28122,ladyb
2018-04-08,969,0.126232507739938,0,ladyb
2017-11-26,304,0.22320197368421046,0,thepost
2017-12-03,843,0.1588775800711745,0,thepost
2017-12-10,437,0.07927505720823792,0,thepost
2017-12-17,67,0.18408507462686569,0,thepost
2017-12-24,90,0.002553333333333327,1199041,thepost
2017-12-31,108,0.15017222222222223,950615,thepost
2018-01-07,66,0.14367424242424245,2339581,thepost
2018-01-14,147,0.30127142857142836,28552165,thepost
2018-01-21,101,0.33590198019801987,16644521,thepost
2018-01-28,23,0.2846217391304347,12298587,thepost
2018-02-04,58,0.17125689655172413,7352010,thepost
2018-02-11,47,0.04946595744680852,5272852,thepost
2018-02-18,84,0.32944166666666663,3038629,thepost
2018-02-25,93,0.11696451612903225,1810235,thepost
2018-03-04,58,0.2741568965517241,1381556,thepost
2018-03-11,65,0.1320276923076923,462643,thepost
2018-03-18,145,0.20301034482758612,205231,thepost
2018-03-25,60,0.18559499999999998,141145,thepost
2018-04-01,78,0.17243974358974348,88201,thepost
2018-04-08,74,0.13616351351351355,70414,thepost
2018-04-15,84,0.20947380952380962,41706,thepost
2018-04-22,145,0.1629310344827586,28292,thepost
2018-04-29,106,0.2418311320754718,13341,thepost
2018-05-06,179,0.35477430167597745,9514,thepost
2018-05-13,318,0.2716738993710691,3179,thepost
2018-05-20,127,0.3228070866141732,0,thepost
2017-10-15,203,0.21722709359605913,0,threebill
2017-10-22,308,0.2080685064935063,0,threebill
2017-10-29,237,0.10322278481012664,0,threebill
2017-11-05,208,0.10901778846153837,0,threebill
2017-11-12,191,-0.009906282722513106,434225,threebill
2017-11-19,179,0.2205994413407822,2777304,threebill
2017-11-26,186,0.17253870967741936,5928991,threebill
2017-12-03,30,0.23440666666666665,6309764,threebill
2017-12-10,67,0.03146567164179104,4298694,threebill
2017-12-17,86,0.16588720930232553,2466641,threebill
2017-12-24,40,0.06284,1273465,threebill
2017-12-31,102,0.1461745098039216,1198630,threebill
2018-01-07,41,0.23573414634146347,1520745,threebill
2018-01-14,56,0.3037339285714286,3868898,threebill
2018-01-21,158,0.19429746835443037,3333594,threebill
2018-01-28,804,0.13559017412935315,5353100,threebill
2018-02-04,495,0.10686424242424243,4380755,threebill
2018-02-11,87,0.16719885057471268,3324700,threebill
2018-02-18,131,0.08602748091603052,2435073,threebill
2018-02-25,72,0.14375138888888891,1983849,threebill
2018-03-04,30,0.09103333333333333,1882172,threebill
2018-03-11,25,0.15568,979062,threebill
2018-03-18,83,0.1349795180722891,396614,threebill
2018-03-25,47,-0.018089361702127684,164508,threebill
2018-04-01,78,0.11286538461538462,77086,threebill
2018-04-08,82,0.12498658536585366,53181,threebill
2018-04-15,82,0.0409951219512195,38716,threebill
2018-04-22,47,0.23447234042553178,20388,threebill
2018-04-29,84,0.11014642857142859,13585,threebill
2018-05-06,117,0.07557008547008548,0,threebill
2017-11-05,128,0.07796953124999999,0,shapeofwater
2017-11-12,407,0.025002702702702693,0,shapeofwater
2017-11-19,387,0.19333255813953498,0,shapeofwater
2017-11-26,266,0.14793721804511273,0,shapeofwater
2017-12-03,201,0.2513975124378107,231008,shapeofwater
2017-12-10,89,0.04339550561797754,1651556,shapeofwater
2017-12-17,33,0.16625151515151512,2683101,shapeofwater
2017-12-24,131,0.15711984732824427,7574490,shapeofwater
2017-12-31,19,0.2299736842105263,6413309,shapeofwater
2018-01-07,69,0.2965246376811595,5168428,shapeofwater
2018-01-14,90,0.14551666666666666,4287155,shapeofwater
2018-01-21,27,0.18744444444444444,3969698,shapeofwater
2018-01-28,60,0.09619833333333334,8301305,shapeofwater
2018-02-04,50,0.172232,6485641,shapeofwater
2018-02-11,54,0.08666296296296296,4813023,shapeofwater
2018-02-18,78,0.19533461538461538,2607130,shapeofwater
2018-02-25,96,0.14292395833333338,1944225,shapeofwater
2018-03-04,68,0.1712911764705882,2607414,shapeofwater
2018-03-11,81,0.19397407407407413,3295499,shapeofwater
2018-03-18,48,0.20917916666666672,1139518,shapeofwater
2018-03-25,74,0.11042567567567567,376554,shapeofwater
2018-04-01,93,0.10434193548387098,149974,shapeofwater
2018-04-08,79,0.2616531645569621,81316,shapeofwater
2018-04-15,46,0.21638043478260877,48308,shapeofwater
2018-04-22,117,0.085665811965812,24333,shapeofwater
2018-04-29,453,0.07313002207505515,6450,shapeofwater
2018-05-06,399,0.11204486215538843,0,shapeofwater
2017-11-26,222,0.0627337837837838,0,phantom
2017-12-03,626,0.08498530351437697,0,phantom
2017-12-10,257,0.12912295719844355,0,phantom
2017-12-17,248,0.11646895161290323,0,phantom
2017-12-24,76,0.12215921052631573,311345,phantom
2017-12-31,61,0.20475409836065578,395605,phantom
2018-01-07,23,0.41869130434782603,374828,phantom
2018-01-14,92,0.16192391304347833,1730951,phantom
2018-01-21,47,0.17792978723404257,4919080,phantom
2018-01-28,53,0.17437924528301887,4302300,phantom
2018-02-04,44,0.27340227272727274,3163985,phantom
2018-02-11,94,0.14895638297872343,1798530,phantom
2018-02-18,62,0.18216129032258063,1155470,phantom
2018-02-25,39,0.21758461538461538,1382070,phantom
2018-03-04,102,0.14586176470588233,943371,phantom
2018-03-11,40,0.051134999999999986,334885,phantom
2018-03-18,74,0.11417702702702702,143880,phantom
2018-03-25,47,0.11459148936170215,49705,phantom
2018-04-01,487,0.09955605749486655,27760,phantom
2018-04-08,38,0.03023421052631579,17915,phantom
2018-04-15,491,0.15013034623217908,0,phantom
2017-01-29,106,0.03085566037735851,0,getout
2017-02-05,161,0.025844099378882004,0,getout
2017-02-12,179,0.06699217877094972,0,getout
2017-02-19,187,0.02679946524064172,0,getout
2017-02-26,173,0.06752601156069364,49843640,getout
2017-03-05,231,0.09384112554112553,40138205,getout
2017-03-12,232,0.10408232758620696,29886300,getout
2017-03-19,132,0.12462575757575753,18949890,getout
2017-03-26,71,0.10542394366197183,12255925,getout
2017-04-02,43,0.061886046511627914,7758690,getout
2017-04-09,23,0.0063086956521739125,5797365,getout
2017-04-16,60,0.04635666666666667,4008130,getout
2017-04-23,56,0.09591428571428573,2185865,getout
2017-04-30,15,0.09593999999999998,2300975,getout
2017-05-07,71,0.0062816901408450625,1017385,getout
2017-05-14,60,0.051786666666666675,552335,getout
2017-05-21,43,-0.10697441860465122,367570,getout
2017-05-28,56,0.06935,290695,getout
2017-06-04,84,-0.021701190476190475,131170,getout
2017-06-11,72,0.10820138888888889,76375,getout
2017-06-18,39,0.12401282051282053,52705,getout
2017-06-25,60,0.04770166666666668,33140,getout
2017-07-02,38,0.04551842105263159,24240,getout
2017-07-09,126,0.0793746031746032,16270,getout
2017-07-16,46,-0.05246739130434783,0,getout
2017-05-21,177,0.050723163841807965,0,dunkirk
2017-05-28,615,0.048124715447154486,0,dunkirk
