ladyb,threebill,darkest,callme,thepost,getout,shapeofwater,dunkirk,phantom
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
532080,434225,71755,626895,1199041,49843640,231008,74706220,311345
1640395,2777304,231726,454410,950615,40138205,1651556,41249518,395605
4496063,5928991,151427,432173,2339581,29886300,2683101,26351813,374828
5876913,6309764,1035940,774313,28552165,18949890,7574490,16500528,1730951
6238218,4298694,1362229,1620973,16644521,12255925,6413309,9720951,4919080
5085720,2466641,9794210,1417165,12298587,7758690,5168428,6100515,4302300
3431429,1273465,9388820,1189666,7352010,5797365,4287155,6530734,3163985
2665194,1198630,9179445,1181780,5272852,4008130,3969698,2676373,1798530
2590079,1520745,6847625,2313165,3038629,2185865,8301305,1872655,1155470
2660118,3868898,4249230,1929578,1810235,2300975,6485641,841642,1382070
2643026,3333594,4110750,1322018,1381556,1017385,4813023,486340,943371
1863857,5353100,3456935,1107524,462643,552335,2607130,362886,334885
2650245,4380755,2361600,871250,205231,367570,1944225,230658,143880
1929519,3324700,1478150,885152,141145,290695,2607414,160056,49705
1343310,2435073,1134375,1038683,88201,131170,3295499,89572,27760
1143293,1983849,968533,450112,70414,76375,1139518,68018,17915
963667,1882172,383695,199317,41706,52705,376554,80403,0
774712,979062,154855,114347,28292,33140,149974,16664,0
249427,396614,66885,79518,13341,24240,81316,0,0
105724,164508,25825,44577,9514,16270,48308,0,0
47162,77086,14400,23821,3179,0,24333,0,0
28122,53181,0,19264,0,0,6450,0,0
0,38716,0,0,0,0,0,0,0
0,20388,0,0,0,0,0,0,0
0,13585,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
